_id,status,data.city,data.state,data.country,data.location.type,data.location.coordinates,data.current.weather.ts,data.current.weather.tp,data.current.weather.pr,data.current.weather.hu,data.current.weather.ws,data.current.weather.wd,data.current.weather.ic,data.current.pollution.ts,data.current.pollution.aqius,data.current.pollution.mainus,data.current.pollution.aqicn,data.current.pollution.maincn
5ee4e5f19ae5d010d5ad0487,success,El Chol,Baja Verapaz,Guatemala,Point,"[-90.48056,14.96417]",2020-06-13T02:00:00.000Z,21,1024,73,6.2,20,03n,2020-06-13T02:00:00.000Z,37,p2,13,p2
5ee4e5f19ae5d010d5ad0488,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad0489,success,Tamuning,Tamuning,USA,Point,"[144.780955,13.481809]",2020-06-13T02:00:00.000Z,30,1014,62,5.7,80,02d,2020-06-13T02:00:00.000Z,1,p2,0,p2
5ee4e5f19ae5d010d5ad048a,success,Ziguinchor,Ziguinchor,Senegal,Point,"[-16.27326,12.56801]",2020-06-13T02:00:00.000Z,27,1012,94,2.1,240,04n,2020-06-13T02:00:00.000Z,26,p2,9,p2
5ee4e5f19ae5d010d5ad048b,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad048c,success,Kutaisi,Imereti,Georgia,Point,"[42.69459,42.26791]",2020-06-13T02:00:00.000Z,16,1006,100,1,0,50d,2020-06-13T02:00:00.000Z,67,p2,37,p1
5ee4e5f19ae5d010d5ad048d,success,Manche,Normandy,France,Point,"[-1.59341688636545,49.646948621699]",2020-06-13T02:00:00.000Z,13,1002,82,5.1,130,01n,2020-06-13T02:00:00.000Z,33,p2,17,o3
5ee4e5f19ae5d010d5ad048e,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad048f,success,Hong Kong,Hong Kong SAR,Hong Kong SAR,Point,"[114.157775,22.282079]",2020-06-13T02:00:00.000Z,29,1005,84,6.26,90,02d,2020-06-13T02:00:00.000Z,33,p2,17,p1
5ee4e5f19ae5d010d5ad0490,success,Sderot,Southern District,Israel,Point,"[34.60161,31.52796]",2020-06-13T02:00:00.000Z,20,1006,48,0.89,5,01n,2020-06-13T01:00:00.000Z,31,p2,17,o3
5ee4e5f19ae5d010d5ad0491,success,Tegucigalpa,Francisco Morazan,Honduras,Point,"[-87.20681,14.0818]",2020-06-13T02:00:00.000Z,26,1014,65,10.3,360,03n,2020-06-13T02:00:00.000Z,52,p2,18,p2
5ee4e5f19ae5d010d5ad0492,success,Mayagueez,Mayaguez,Puerto Rico,Point,"[-67.13962,18.20107]",2020-06-13T02:00:00.000Z,24,1014,93,1.34,117,04n,,,,,
5ee4e5f19ae5d010d5ad0493,success,Plitvicka Jezera,Croatia,Croatia,Point,"[15.61,44.8993]",2020-06-13T02:00:00.000Z,9,1011,72,2.35,198,01n,2020-06-13T02:00:00.000Z,10,p2,3,p2
5ee4e5f19ae5d010d5ad0494,success,K-Puszta,Southern Great Plain,Hungary,Point,"[19.5482,46.9701]",2020-06-13T02:00:00.000Z,17,1008,93,2.1,310,01n,2020-06-13T00:00:00.000Z,34,p2,12,p2
5ee4e5f19ae5d010d5ad0495,success,Kapit,Sarawak,Malaysia,Point,"[112.92736,2.014498]",2020-06-13T02:00:00.000Z,31,1009,60,0.74,115,02d,2020-06-13T02:00:00.000Z,26,p2,9,p2
5ee4e5f19ae5d010d5ad0496,success,Roscommon,Connaught,Ireland,Point,"[-8.1961908,53.6262299]",2020-06-13T02:00:00.000Z,11,985,75,1.34,1,04n,2020-06-13T01:00:00.000Z,27,p2,11,p1
5ee4e5f19ae5d010d5ad0497,success,Bangor,Northern Ireland,United Kingdom,Point,"[-5.672035,54.634158]",2020-06-13T02:00:00.000Z,11,1009,87,2.6,50,04n,2020-06-13T02:00:00.000Z,37,p2,13,p2
5ee4e5f19ae5d010d5ad0498,success,Ardakan,Yazd,Iran,Point,"[53.965047,32.338847]",2020-06-13T02:00:00.000Z,26,1009,16,2.1,140,01d,2020-06-13T01:00:00.000Z,68,p2,29,p2
5ee4e5f19ae5d010d5ad0499,success,Akureyri,Northeast,Iceland,Point,"[-18.0878,65.68353]",2020-06-13T02:00:00.000Z,11,1012,62,11.8,180,02d,2020-06-13T02:00:00.000Z,4,p1,4,p1
5ee4e5f19ae5d010d5ad049a,success,Baghdad,Baghdad,Iraq,Point,"[44.40088,33.34058]",2020-06-13T02:00:00.000Z,21,1004,37,2.6,310,01d,2020-06-13T02:00:00.000Z,55,p2,20,p2
5ee4e5f19ae5d010d5ad049b,success,Homestead,Florida,USA,Point,"[-80.4828,25.4719]",2020-06-13T02:00:00.000Z,26,1015,78,3.6,60,04n,2020-06-13T00:00:00.000Z,7,p2,3,p2
